Gene,dropout,highly_variable,F_pval,Adj_F_pval
PARP1,0.4096796182685753,0,1.550693648084209e-06,0.02188180941788721
GDE1,0.7532379004771643,0,6.818409909342951e-07,0.023017049479906328
GIMAP2,0.6871165644171779,0,9.035575436149724e-07,0.024055713669509288
TMEM219,0.42535787321063395,0,1.660804528492958e-06,0.024074986983015523
ARHGEF12,0.8868438991138378,0,3.3037176781596507e-07,0.024320357491599717
HNRNPA1,0.22358554873892297,0,2.2770100872309755e-06,0.024429599417973766
CKB,0.8834355828220859,0,3.487892374770537e-07,0.024925396776524673
NFKBIZ,0.869120654396728,1,4.0883014965872445e-07,0.026020569792427478
PTMS,0.5078391274710293,0,1.5756337417210987e-06,0.02666816848136207
THEMIS,0.5385139740967961,1,1.4997372819446353e-06,0.027070833909105547
GTDC1,0.8357191547375596,0,5.624585232506368e-07,0.028519937861246222
RPL39,0.0013633265167007499,0,3.687091251616787e-06,0.030755399778016942
PRKCQ-AS1,0.5903203817314246,0,1.5239707153617908e-06,0.03098683823377666
ENTPD1,0.8268575323790047,1,6.535437848469381e-07,0.031442428900180765
FHL3,0.7730061349693251,0,8.716293922772093e-07,0.031986207365947886
VCL,0.8104976141785958,0,7.427537142320741e-07,0.03264939601016011
GADD45G,0.7457396046353102,1,1.0971153914954618e-06,0.03594335326211155
AC022706.1,0.8882072256305386,0,4.979198564302025e-07,0.03710143546805661
Z93930.2,0.8050443081117927,0,8.739605945309529e-07,0.03734228881410364
CDK2AP2,0.21063394683026584,0,3.716061388310989e-06,0.039214748645866146
TMEM140,0.792774369461486,0,1.004337018056219e-06,0.04037206854512823
IKZF3,0.9270620313565099,1,3.6573086695348275e-07,0.04176889181838247
ICAM4,0.8616223585548739,0,6.944430892111522e-07,0.041803797728571894
MANF,0.4239945466939332,0,2.903453545854864e-06,0.04198878308903726
PSTPIP2,0.8725289706884799,0,6.778825042707568e-07,0.04429838914044983
AC004448.2,0.8009543285616906,0,1.0680989890238285e-06,0.04469961348205473
